Orthogroup	Arabidopsis_lyrata	Arabidopsis_thaliana	Brassica_oleracea	Brassica_rapa	Capsella_rubella	Capsicum_annuum	Carica_papaya	Cicer_arietinum	Citrus_sinensis	Cucumis_melo	Cucumis_sativus	Eutrema_salsugineum	Fragaria_vesca	Glycine_max	Gossypium_hirsutum	Helianthus_annuus	Jatropha_curcas	Malus_domestica	Manihot_esculenta	Medicago_truncatula	Nicotiana_attenuata	Papaver_somniferum	Phaseolus_vulgaris	Populus_euphratica	Populus_trichocarpa	Prunus_mume	Prunus_persica	Pyrus_x_bretschneideri	Solanum_lycopersicum	Solanum_pennellii	Solanum_tuberosum	Vitis_vinifera	Total
OG0013037	1	1	1	1	1	3	3	1	2	0	0	1	0	1	2	1	1	1	1	1	1	1	2	0	1	1	1	4	1	1	0	3	39
OG0013038	1	1	1	1	0	1	2	1	2	0	0	1	1	2	3	0	1	4	1	1	1	2	2	1	1	1	1	2	1	1	1	1	39
OG0013039	1	1	1	1	1	2	6	1	1	1	1	1	0	1	2	2	1	1	1	1	1	0	1	2	1	1	1	1	1	2	1	0	39
OG0013040	1	1	1	1	1	1	1	1	1	1	1	1	1	5	2	1	0	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	39
OG0013041	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	3	1	1	4	1	1	1	1	1	0	1	1	1	1	39
OG0013042	5	10	6	8	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
OG0013043	1	1	2	2	1	0	0	2	1	1	1	1	1	2	4	1	1	2	2	2	1	2	2	0	0	1	2	2	0	0	0	1	39
OG0013044	1	2	1	1	1	2	0	6	1	0	0	1	0	2	4	0	1	0	1	1	2	4	1	0	2	0	0	0	2	1	1	1	39
OG0013045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	2	1	1	1	1	1	1	1	1	3	1	1	1	1	39
OG0013046	1	1	1	1	1	1	2	1	1	2	4	1	1	1	2	1	2	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	39
OG0013047	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	0	2	1	1	2	2	1	1	1	2	1	2	1	1	1	1	39
OG0013048	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	39
OG0013049	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013050	1	1	1	1	2	0	2	1	1	3	2	1	2	0	2	0	2	2	3	1	0	2	1	1	1	1	1	2	0	0	0	2	39
OG0013051	1	1	2	2	1	1	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	39
OG0013052	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	0	1	1	1	1	2	1	1	1	1	39
OG0013053	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	39
OG0013054	1	1	1	1	1	2	1	1	4	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	39
OG0013055	1	2	3	5	2	0	7	0	1	0	0	0	0	0	8	1	4	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	39
OG0013056	1	4	3	1	1	2	0	0	1	1	1	1	1	0	4	1	1	2	1	0	1	2	0	1	2	1	1	1	1	1	1	1	39
OG0013057	1	1	1	1	1	1	1	2	1	1	1	1	1	3	2	2	1	1	1	2	1	0	2	1	1	1	1	2	1	1	1	1	39
OG0013058	1	1	2	2	1	0	0	2	1	0	0	1	1	2	2	1	1	2	1	3	0	5	1	0	0	2	5	1	0	0	0	1	39
OG0013059	1	1	2	1	1	1	1	1	1	1	2	1	1	2	3	2	1	1	1	2	1	0	1	2	1	1	1	1	1	1	1	1	39
OG0013060	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	39
OG0013061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	4	1	2	1	1	1	1	1	1	1	1	2	1	39
OG0013062	1	2	1	2	1	1	1	2	1	0	0	1	1	2	0	1	0	2	0	1	2	2	1	1	1	1	3	1	2	3	1	1	39
OG0013063	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	0	2	2	1	1	2	1	1	1	1	39
OG0013064	4	4	1	11	10	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
OG0013065	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	39
OG0013066	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	39
OG0013067	1	1	2	2	1	4	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	7	1	1	1	1	2	0	1	1	1	1	39
OG0013068	1	1	4	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	39
OG0013069	1	1	2	3	1	0	1	1	1	1	1	1	1	2	5	0	1	2	1	1	0	2	1	2	1	1	1	3	0	0	0	1	39
OG0013070	1	1	1	1	1	0	1	1	1	1	1	1	1	2	2	1	1	2	2	1	0	4	1	2	3	1	1	3	0	0	0	1	39
