GSM2651522,GSE99758,Glycine max,SRX2892168,,leaf,control,PE,See exp for genotypes
GSM2651523,GSE99758,Glycine max,SRX2892169,,leaf,control,PE,See exp for genotypes
GSM2651524,GSE99758,Glycine max,SRX2892170,,leaf,control,PE,See exp for genotypes
GSM2651525,GSE99758,Glycine max,SRX2892171,,leaf,control,PE,See exp for genotypes
GSM2651526,GSE99758,Glycine max,SRX2892172,,leaf,control,PE,See exp for genotypes
GSM2651527,GSE99758,Glycine max,SRX2892173,,leaf,control,PE,See exp for genotypes
GSM2651528,GSE99758,Glycine max,SRX2892174,,leaf,control,PE,See exp for genotypes
GSM2651529,GSE99758,Glycine max,SRX2892175,,leaf,control,PE,See exp for genotypes
GSM2651530,GSE99758,Glycine max,SRX2892176,,leaf,control,PE,See exp for genotypes
GSM2651531,GSE99758,Glycine max,SRX2892177,,leaf,control,PE,See exp for genotypes
GSM2651532,GSE99758,Glycine max,SRX2892178,,leaf,control,PE,See exp for genotypes
GSM2651533,GSE99758,Glycine max,SRX2892179,,leaf,control,PE,See exp for genotypes
GSM2651534,GSE99758,Glycine max,SRX2892180,,leaf,control,PE,See exp for genotypes
GSM2651535,GSE99758,Glycine max,SRX2892181,,leaf,control,PE,See exp for genotypes
GSM2651536,GSE99758,Glycine max,SRX2892182,,leaf,control,PE,See exp for genotypes
GSM2651537,GSE99758,Glycine max,SRX2892183,,leaf,control,PE,See exp for genotypes
GSM2651538,GSE99758,Glycine max,SRX2892184,,leaf,control,PE,See exp for genotypes
GSM2651539,GSE99758,Glycine max,SRX2892185,,leaf,control,PE,See exp for genotypes
GSM2651540,GSE99758,Glycine max,SRX2892186,,leaf,control,PE,See exp for genotypes
GSM2651541,GSE99758,Glycine max,SRX2892187,,leaf,control,PE,See exp for genotypes
GSM2651542,GSE99758,Glycine max,SRX2892188,,leaf,control,PE,See exp for genotypes
GSM2651543,GSE99758,Glycine max,SRX2892189,,leaf,control,PE,See exp for genotypes
GSM2651544,GSE99758,Glycine max,SRX2892190,,leaf,control,PE,See exp for genotypes
GSM2651545,GSE99758,Glycine max,SRX2892191,,leaf,control,PE,See exp for genotypes
GSM2651546,GSE99758,Glycine max,SRX2892192,,leaf,control,PE,See exp for genotypes
GSM2651547,GSE99758,Glycine max,SRX2892193,,leaf,control,PE,See exp for genotypes
GSM2651548,GSE99758,Glycine max,SRX2892194,,leaf,control,PE,See exp for genotypes
GSM2651549,GSE99758,Glycine max,SRX2892195,,leaf,control,PE,See exp for genotypes
GSM2651550,GSE99758,Glycine max,SRX2892196,,leaf,control,PE,See exp for genotypes
GSM2651551,GSE99758,Glycine max,SRX2892197,,leaf,control,PE,See exp for genotypes
GSM2651552,GSE99758,Glycine max,SRX2892198,,leaf,control,PE,See exp for genotypes
GSM2651553,GSE99758,Glycine max,SRX2892199,,leaf,control,PE,See exp for genotypes
GSM2651554,GSE99758,Glycine max,SRX2892200,,leaf,control,PE,See exp for genotypes
GSM2651555,GSE99758,Glycine max,SRX2892201,,leaf,control,PE,See exp for genotypes
GSM2651556,GSE99758,Glycine max,SRX2892202,,leaf,control,PE,See exp for genotypes
GSM2651557,GSE99758,Glycine max,SRX2892203,,leaf,control,PE,See exp for genotypes
GSM2651558,GSE99758,Glycine max,SRX2892204,,leaf,control,PE,See exp for genotypes
GSM2651559,GSE99758,Glycine max,SRX2892205,,leaf,control,PE,See exp for genotypes
GSM2651560,GSE99758,Glycine max,SRX2892206,,leaf,control,PE,See exp for genotypes
GSM2651561,GSE99758,Glycine max,SRX2892207,,leaf,control,PE,See exp for genotypes
GSM2651562,GSE99758,Glycine max,SRX2892208,,leaf,control,PE,See exp for genotypes
GSM2651563,GSE99758,Glycine max,SRX2892209,,leaf,control,PE,See exp for genotypes
GSM2651564,GSE99758,Glycine max,SRX2892210,,leaf,control,PE,See exp for genotypes
GSM2651565,GSE99758,Glycine max,SRX2892211,,leaf,control,PE,See exp for genotypes
GSM2651566,GSE99758,Glycine max,SRX2892212,,leaf,control,PE,See exp for genotypes
GSM2651567,GSE99758,Glycine max,SRX2892213,,leaf,control,PE,See exp for genotypes
GSM2651568,GSE99758,Glycine max,SRX2892214,,leaf,control,PE,See exp for genotypes
GSM2651569,GSE99758,Glycine max,SRX2892215,,leaf,control,PE,See exp for genotypes
GSM2651570,GSE99758,Glycine max,SRX2892216,,leaf,control,PE,See exp for genotypes
GSM2651571,GSE99758,Glycine max,SRX2892217,,leaf,control,PE,See exp for genotypes
GSM2651572,GSE99758,Glycine max,SRX2892218,,leaf,control,PE,See exp for genotypes
GSM2651573,GSE99758,Glycine max,SRX2892219,,leaf,control,PE,See exp for genotypes
GSM2651574,GSE99758,Glycine max,SRX2892220,,leaf,control,PE,See exp for genotypes
GSM2651575,GSE99758,Glycine max,SRX2892221,,leaf,control,PE,See exp for genotypes
GSM2651576,GSE99758,Glycine max,SRX2892222,,leaf,control,PE,See exp for genotypes
GSM2651577,GSE99758,Glycine max,SRX2892223,,leaf,control,PE,See exp for genotypes
GSM2651578,GSE99758,Glycine max,SRX2892224,,leaf,control,PE,See exp for genotypes
GSM2651579,GSE99758,Glycine max,SRX2892225,,leaf,control,PE,See exp for genotypes
GSM2651580,GSE99758,Glycine max,SRX2892226,,leaf,control,PE,See exp for genotypes
GSM2651581,GSE99758,Glycine max,SRX2892227,,leaf,control,PE,See exp for genotypes
GSM2651582,GSE99758,Glycine max,SRX2892228,,leaf,control,PE,See exp for genotypes
GSM2651583,GSE99758,Glycine max,SRX2892229,,leaf,control,PE,See exp for genotypes
GSM2651584,GSE99758,Glycine max,SRX2892230,,leaf,control,PE,See exp for genotypes
GSM2651585,GSE99758,Glycine max,SRX2892231,,leaf,control,PE,See exp for genotypes
GSM2651586,GSE99758,Glycine max,SRX2892232,,leaf,control,PE,See exp for genotypes
GSM2651587,GSE99758,Glycine max,SRX2892233,,leaf,control,PE,See exp for genotypes
GSM2651588,GSE99758,Glycine max,SRX2892234,,leaf,control,PE,See exp for genotypes
GSM2651589,GSE99758,Glycine max,SRX2892235,,leaf,control,PE,See exp for genotypes
GSM2651590,GSE99758,Glycine max,SRX2892236,,leaf,control,PE,See exp for genotypes
GSM2651591,GSE99758,Glycine max,SRX2892237,,leaf,control,PE,See exp for genotypes
GSM2651592,GSE99758,Glycine max,SRX2892238,,leaf,control,PE,See exp for genotypes
GSM2651593,GSE99758,Glycine max,SRX2892239,,leaf,control,PE,See exp for genotypes
GSM2651594,GSE99758,Glycine max,SRX2892240,,leaf,control,PE,See exp for genotypes
GSM2651595,GSE99758,Glycine max,SRX2892241,,leaf,control,PE,See exp for genotypes
GSM2651596,GSE99758,Glycine max,SRX2892242,,leaf,control,PE,See exp for genotypes
GSM2651597,GSE99758,Glycine max,SRX2892243,,leaf,control,PE,See exp for genotypes
GSM2651598,GSE99758,Glycine max,SRX2892244,,leaf,control,PE,See exp for genotypes
GSM2651599,GSE99758,Glycine max,SRX2892245,,leaf,control,PE,See exp for genotypes
GSM2651600,GSE99758,Glycine max,SRX2892246,,leaf,control,PE,See exp for genotypes
GSM2651601,GSE99758,Glycine max,SRX2892247,,leaf,control,PE,See exp for genotypes
GSM2651602,GSE99758,Glycine max,SRX2892248,,leaf,control,PE,See exp for genotypes
GSM2651603,GSE99758,Glycine max,SRX2892249,,leaf,control,PE,See exp for genotypes
GSM2651604,GSE99758,Glycine max,SRX2892250,,leaf,control,PE,See exp for genotypes
GSM2651605,GSE99758,Glycine max,SRX2892251,,leaf,control,PE,See exp for genotypes
GSM2651606,GSE99758,Glycine max,SRX2892252,,leaf,control,PE,See exp for genotypes
GSM2651607,GSE99758,Glycine max,SRX2892253,,leaf,control,PE,See exp for genotypes
GSM2651608,GSE99758,Glycine max,SRX2892254,,leaf,control,PE,See exp for genotypes
GSM2651609,GSE99758,Glycine max,SRX2892255,,leaf,control,PE,See exp for genotypes
GSM1513581,GSE61760,Gossypium hirsutum,SRX710533,,leaf,control,PE,
